id,bytes
1619,687502
162,399926
1620,235739
1621,198892
1622,816130
1623,588676
1624,480700
1625,185518
1626,786752
1627,664682
1628,328888
1629,696904
163,212239
1631,589625
1632,345599
1633,492436
1634,397081
1635,55890
1636,235238
1637,397975
1638,135288
1639,428034
164,618734
1640,509280
1641,1036932
1642,71192
1643,145335
1644,381692
1645,104881
1646,577205
1649,283699
165,679935
1650,306369
1651,615433
1652,323267
1653,374767
1654,545207
1655,313465
1656,107813
1657,48219
1658,257019
1659,182853
166,343517
1660,1156665
1661,607504
1662,3079830
1663,100916
1664,43046
1665,177018
1666,467133
1667,99789
1668,66473
1669,203798
167,276818
1670,43343
1671,330280
1672,355641
1673,74302
1674,212913
1675,748769
1676,129456
1677,53987
1678,470019
1679,394325
168,239385
1680,146022
1681,59643
1682,77736
1683,194025
1684,1092898
1685,438971
1686,592467
1687,202187
1688,377983
1689,349137
169,1182990
1690,595352
1692,590928
1693,706160
1694,688818
1695,355264
1696,275378
1697,418369
1698,321511
1699,501534
17,1467913
170,365532
1700,499276
1701,464098
1702,262856
1703,326046
1704,324292
1705,526766
1706,509196
1707,529440
1708,514556
1709,1077379
171,236372
1710,65829
1711,540378
1712,786628
1713,775226
1714,110740
1715,410210
1716,494136
1717,363760
1718,356986
1719,141792
172,375250
1720,354858
1721,161356
1722,280693
1723,406041
1724,676368
1725,471676
1726,397400
1727,717663
1728,771202
1729,117458
173,425548
1730,575323
1731,78885
1732,382605
1733,405517
1734,393904
1735,286556
1736,86083
1737,50230
1738,252846
1739,286986
174,446090
1740,461103
1741,514007
1742,57001
1743,437069
1744,286750
1745,952309
1746,81671
1747,360439
1748,883432
1749,925481
175,474753
1750,1364269
1751,414351
1752,734229
1753,50788
1754,125174
1755,148185
1756,111425
1757,44687
1758,61065
1759,283108
176,786963
1760,96261
1761,58590
1762,63265
1763,46895
1764,65046
1765,167947
1768,208226
1769,105697
177,794196
1770,121501
1771,146826
1772,149701
1773,124033
1774,154655
1775,145806
1776,156953
1777,169289
1778,121626
1779,145880
178,458504
1780,167374
1781,154889
1782,182405
1783,139302
1784,182568
1785,141905
1786,150704
1787,211104
1788,133513
179,371609
1790,185586
1791,160987
1792,152029
1793,189034
1794,185961
1795,129264
1796,182654
1797,195859
1798,136008
1799,191393
18,1173764
180,2807880
1800,172007
1801,122928
1802,172226
1803,429214
1804,378452
1805,265575
1806,65341
1807,129433
1808,86611
1809,467208
1810,173215
1811,196920
